Glottocode	Verb_final	Free_word_order	Nominal_case	Family_ID
bara1370	0	1	0	Austronesian
kina1250	0	0	0	Austronesian
lihi1237	0	0	1	Austronesian
vinm1237	0	0	0	Austronesian
yako1252	0	0	0	Atlantic-Congo
abee1242	0	0	0	Atlantic-Congo
arig1246	0	0	0	Atlantic-Congo
hung1275	0	1	0	Austroasiatic
karn1252	0	0	0	Austronesian
pate1247	0	0	0	Austronesian
aros1241	0	0	0	Austronesian
bilb1241	0	0	1	Austronesian
mamb1296	0	0	0	Atlantic-Congo
mort1237	0	0	0	Austronesian
tina1248	0	1	0	Austronesian
asut1235	0	0	0	Atlantic-Congo
baga1272	0	0	0	Atlantic-Congo
elem1253	0	0	0	Atlantic-Congo
ibib1240	0	0	0	Atlantic-Congo
kulo1237	0	1	0	Austronesian
midd1327	0	0	0	Austronesian
sata1237	0	0	0	Austronesian
yaka1272	0	0	0	Atlantic-Congo
cori1240	0	0	0	Atlantic-Congo
jehh1245	0	1	0	Austroasiatic
lamb1273	0	1	0	Austronesian
mouk1239	0	0	0	Austronesian
neha1247	0	1	0	Austronesian
uuuu1243	0	0	0	Austroasiatic
baba1268	0	0	0	Austronesian
bidy1244	0	0	0	Atlantic-Congo
cent2100	0	0	0	Austronesian
baka1274	0	0	0	Central Sudanic
biat1246	0	1	0	Austronesian
land1256	0	0	0	Atlantic-Congo
lozi1239	0	0	0	Atlantic-Congo
mbaa1245	0	0	0	Atlantic-Congo
niue1239	0	0	0	Austronesian
rung1259	0	1	0	Austronesian
waro1242	0	0	0	Austronesian
yaoo1241	0	0	0	Atlantic-Congo
luch1239	0	0	0	Atlantic-Congo
mamv1243	0	0	0	Central Sudanic
nige1253	0	0	0	Atlantic-Congo
taga1273	0	1	0	Austronesian
keme1240	0	0	0	Atlantic-Congo
komo1260	0	0	0	Atlantic-Congo
lamo1244	0	0	0	Austronesian
nort2775	0	0	0	Atlantic-Congo
nzak1246	0	0	0	Atlantic-Congo
remo1247	0	0	0	Austronesian
sela1260	0	1	0	Austronesian
bamb1270	0	0	0	Austronesian
bila1255	0	0	0	Atlantic-Congo
buhu1237	1	0	0	Austronesian
east2332	0	0	0	Austroasiatic
libi1244	0	0	0	Atlantic-Congo
