Glottocode	AUTOTYP_area	Longitude	Latitude	Family_ID	Name
ango1258	S Africa	6.59486	0.11438	indo1319	Angolar
angu1242	N Australia	141.755	-12.395	pama1250	Anguthimri
anii1245	African Savannah	1.60169	9.11127	atla1278	Anii
anii1246	S Africa	22.9088	-19.0966	khoe1240	//Ani
anim1239	African Savannah	0.41962	7.60385	atla1278	Animere
anin1240	N Australia	136.6415	-13.99904	gunw1250	Anindilyakwa
anin1242	African Savannah	8.51	9.08	atla1278	Aninka
anip1235	Southeast Asia	103.6	23.7	sino1245	Ani Phowa
anja1238	N Coast New Guinea	145.717	-5.45899	nucl1709	Anjam
anka1246	S New Guinea	145.754	-7.19444	anga1289	Ankave
anma1239	S Australia	133.286	-22.2853	pama1250	Anmatyerre
anor1241	N Coast New Guinea	144.801	-4.98449	lowe1437	Anor
anse1238	Andean	-76.05	6.24999	choc1280	Anserma
ansu1237	N Coast New Guinea	135.866	-1.7543	aust1307	Ansus
anta1253	S Australia	134.838	-27.1152	pama1250	Antakarinya
anta1255	S Africa	49.2402	-13.2164	aust1307	Antankarana Malagasy
anti1242	Andean	-75.342236	7.199341	chib1249	Antioquian
anti1245	Mesoamerica	-61.821863	17.068263	indo1319	Antigua and Barbuda Creole English
anua1242	Greater Abyssinia	34.0267	7.57714	nilo1247	Anuak
anuf1239	African Savannah	0.56021	10.2839	atla1278	Anufo
anuk1239	S New Guinea	149.822	-9.6692	aust1307	Anuki
anus1237	N Coast New Guinea	139.502	-2.2627100000000002	aust1307	Anus
anut1237	Oceania	169.85	-11.61	aust1307	Anuta
anuu1241	Indic	93.05	21.5	sino1245	Anu-Hkongso
anyi1244	African Savannah	-4.64232	6.1627	atla1278	Anyin Morofo
anyi1245	African Savannah	-3.30532	6.31781	atla1278	Anyin
anyi1247	Southeast Asia	115.54773	28.84359	sino1245	Anyi
aohe1237	Southeast Asia	114.127	0.87404	aust1307	Aoheng-Seputan
aona1235	Southeast Asia	94.3824	26.3241	sino1245	Ao Naga
aore1237	Oceania	167.166	-15.5753	aust1307	Aore
aoua1234	Southeast Asia	105.85	26.8	taik1256	A'ou
apal1237	E North America	-84.416	30.118	musk1252	Apalachee
apal1255	N Coast New Guinea	149.96	-6.29002	aust1307	Apalik
apal1256	N Coast New Guinea	145.023	-5.1727	nucl1709	Apali
apal1257	NE South America	-54.7457	1.49792	cari1283	Apalaí
apas1235	Mesoamerica	-97.0657	17.6143	otom1299	Apasco-Apoala Mixtec
apat1240	Indic	93.7284	27.1933	sino1245	Apatani
apia1247	NE South America	-49.771729	-6.5	cari1283	Apiaka-Tocantins
apia1248	NE South America	-57.91	-7.84711	tupi1275	Apiaká
apin1244	NE South America	-47.6315	-6.10774	nucl1710	Apinayé
apma1240	Oceania	168.189	-15.8559	aust1307	Apma
apma1241	N Coast New Guinea	144.085	-4.35147	kera1258	Ap Ma
apol1242	Andean	-68.66	-14.83	araw1281	Apolista
apro1235	African Savannah	-4.52192	5.20273	atla1278	Aproumu Aizi
apuc1241	Southeast Asia	92.7965	12.241	grea1241	Apucikwar
apul1236	Europe	18.166667	40.35	indo1319	Apulia-Calabrian Greek
apul1237	Europe	18.28318	40.24882	indo1319	Apulian Greek
apur1254	NE South America	-66.7714	-8.21692	araw1281	Apurinã
aput1237	Oceania	126.496	-7.84732	aust1307	Aputai
